"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 12, 2020","322.68","320.31","322.68","317.30","293.14M","0.52%"
"Aug 11, 2020","321.02","317.63","322.64","317.56","297.60M","1.34%"
"Aug 10, 2020","316.77","312.75","317.84","312.08","261.18M","1.34%"
"Aug 07, 2020","312.57","311.99","314.11","310.00","299.12M","0.40%"
"Aug 06, 2020","311.32","307.88","312.84","307.88","254.20M","1.53%"
"Aug 05, 2020","306.64","303.94","306.67","302.91","210.81M","1.19%"
"Aug 04, 2020","303.04","302.50","304.27","301.48","219.87M","1.20%"
"Aug 03, 2020","299.46","299.57","300.33","297.57","179.73M","0.05%"
"Jul 31, 2020","299.32","303.69","304.16","298.89","201.96M","-0.84%"
"Jul 30, 2020","301.85","303.13","304.13","301.49","191.76M","0.20%"
"Jul 29, 2020","301.25","300.57","303.51","299.61","264.44M","0.37%"
"Jul 28, 2020","300.13","296.53","301.34","296.38","301.28M","2.26%"
"Jul 27, 2020","293.51","291.03","295.26","290.82","193.24M","0.98%"
"Jul 24, 2020","290.66","289.84","292.74","289.42","216.21M","-0.58%"
"Jul 23, 2020","292.37","293.62","293.62","290.49","250.98M","-0.57%"
"Jul 22, 2020","294.04","294.71","296.14","293.39","327.32M","-0.38%"
"Jul 21, 2020","295.16","294.03","296.11","293.20","366.99M","1.50%"
"Jul 20, 2020","290.81","292.76","292.76","289.01","161.82M","-0.26%"
"Jul 17, 2020","291.57","289.90","292.10","289.90","118.64M","0.80%"
"Jul 16, 2020","289.25","292.34","292.74","288.46","129.45M","-1.03%"
"Jul 15, 2020","292.27","292.94","294.42","290.89","168.35M","0.91%"
"Jul 14, 2020","289.63","288.42","289.63","286.89","126.30M","-0.07%"
"Jul 13, 2020","289.84","287.92","290.49","286.86","127.05M","1.68%"
"Jul 10, 2020","285.06","287.87","288.09","283.51","136.77M","-0.76%"
"Jul 09, 2020","287.25","287.80","289.41","287.08","140.61M","0.45%"
"Jul 08, 2020","285.97","287.20","288.41","285.18","119.45M","-0.28%"
"Jul 07, 2020","286.77","292.74","292.98","286.76","156.13M","-1.32%"
"Jul 06, 2020","290.62","286.84","291.14","286.31","128.12M","1.65%"
"Jul 03, 2020","285.89","285.59","286.09","283.36","100.22M","0.72%"
"Jul 02, 2020","283.86","281.30","283.89","280.71","111.37M","1.28%"
"Jul 01, 2020","280.26","283.10","283.84","279.44","133.80M","0.06%"
"Jun 30, 2020","280.09","282.55","283.98","280.09","179.50M","0.74%"
"Jun 29, 2020","278.04","279.36","281.77","277.06","137.76M","-1.88%"
"Jun 26, 2020","283.38","283.36","284.58","280.65","169.01M","1.30%"
"Jun 25, 2020","279.73","282.38","284.36","279.73","152.98M","-2.43%"
"Jun 24, 2020","286.70","283.71","288.30","283.30","200.57M","1.69%"
"Jun 23, 2020","281.94","284.64","286.04","279.26","163.68M","0.18%"
"Jun 22, 2020","281.42","281.01","283.71","280.34","139.84M","-0.69%"
"Jun 19, 2020","283.37","284.56","284.70","278.53","189.13M","0.52%"
"Jun 18, 2020","281.91","281.74","283.39","280.02","181.59M","-0.39%"
"Jun 17, 2020","283.02","282.08","284.90","278.33","337.22M","0.15%"
"Jun 16, 2020","282.59","275.89","282.59","274.00","247.89M","5.46%"
"Jun 15, 2020","267.95","278.61","280.87","267.95","262.44M","-4.91%"
"Jun 12, 2020","281.78","276.97","282.54","276.05","232.83M","-2.37%"
"Jun 11, 2020","288.62","289.98","292.08","284.29","275.90M","-1.12%"
"Jun 10, 2020","291.90","291.03","292.92","289.60","229.07M","0.20%"
"Jun 09, 2020","291.32","293.96","294.87","287.83","268.57M","0.19%"
"Jun 08, 2020","290.77","295.41","295.68","289.71","286.66M","0.05%"
"Jun 05, 2020","290.62","286.30","291.50","284.50","282.06M","1.46%"
"Jun 04, 2020","286.45","291.17","292.90","284.93","364.58M","0.19%"
"Jun 03, 2020","285.91","279.14","287.49","278.98","476.50M","3.56%"
"Jun 02, 2020","276.08","272.65","276.47","272.22","251.03M","1.06%"
"Jun 01, 2020","273.19","269.29","273.39","268.93","171.51M","1.81%"
"May 29, 2020","268.32","266.62","269.61","265.23","269.47M","0.01%"
"May 28, 2020","268.29","270.17","271.44","264.85","248.93M","0.24%"
"May 27, 2020","267.64","266.71","269.17","265.86","247.18M","0.12%"
"May 26, 2020","267.31","263.48","267.31","262.95","175.42M","1.73%"
"May 25, 2020","262.76","260.95","262.82","259.16","125.43M","1.21%"
"May 22, 2020","259.62","263.82","264.07","258.34","166.03M","-1.56%"
"May 21, 2020","263.74","264.52","264.85","263.07","159.48M","0.39%"
"May 20, 2020","262.72","260.48","263.25","260.48","140.30M","0.36%"
"May 19, 2020","261.79","261.12","262.34","259.96","253.33M","2.49%"
"May 18, 2020","255.44","254.55","256.31","252.95","223.00M","0.65%"
"May 15, 2020","253.79","255.34","255.49","252.02","228.90M","0.06%"
"May 14, 2020","253.65","253.26","254.39","252.09","167.64M","-0.86%"
"May 13, 2020","255.85","250.03","255.85","249.95","141.25M","0.98%"
"May 12, 2020","253.37","255.33","255.56","250.98","166.80M","-0.62%"
"May 11, 2020","254.95","257.67","258.87","254.59","144.30M","-0.65%"
"May 08, 2020","256.62","256.66","258.29","256.23","125.22M","0.85%"
"May 07, 2020","254.46","253.88","256.14","253.37","114.36M","-0.21%"
"May 06, 2020","255.00","253.76","255.01","251.26","133.28M","1.76%"
"May 04, 2020","250.60","252.44","253.70","250.34","174.04M","-2.92%"
"Apr 29, 2020","258.15","256.58","259.67","256.04","184.48M","0.69%"
"Apr 28, 2020","256.39","255.91","257.34","253.22","172.42M","0.61%"
"Apr 27, 2020","254.84","251.18","255.79","250.61","151.36M","1.82%"
"Apr 24, 2020","250.28","252.47","252.86","249.19","154.31M","-1.36%"
"Apr 23, 2020","253.74","253.42","255.22","251.58","163.81M","0.74%"
"Apr 22, 2020","251.88","246.16","252.18","244.56","184.50M","0.99%"
"Apr 21, 2020","249.40","250.26","251.88","245.11","257.16M","-1.09%"
"Apr 20, 2020","252.14","253.85","255.93","251.46","211.00M","-1.13%"
"Apr 17, 2020","255.02","252.52","257.37","252.38","287.36M","3.21%"
"Apr 16, 2020","247.10","244.99","247.87","243.61","197.54M","-0.14%"
"Apr 14, 2020","247.45","246.20","248.55","244.58","193.12M","1.66%"
"Apr 13, 2020","243.40","246.59","246.90","243.39","195.90M","-1.85%"
"Apr 10, 2020","248.00","245.14","248.21","244.02","286.11M","0.97%"
"Apr 09, 2020","245.61","246.13","246.46","243.11","175.94M","1.54%"
"Apr 08, 2020","241.89","243.71","246.99","241.77","173.12M","-1.22%"
"Apr 07, 2020","244.87","245.65","247.39","240.68","224.45M","1.69%"
"Apr 06, 2020","240.81","234.40","241.19","233.75","190.74M","3.93%"
"Apr 03, 2020","231.70","232.48","234.45","229.23","181.04M","-0.06%"
"Apr 02, 2020","231.84","227.47","232.22","223.60","181.79M","2.43%"
"Apr 01, 2020","226.35","234.23","237.52","226.34","228.58M","-4.42%"
"Mar 31, 2020","236.82","235.20","237.47","232.50","240.44M","1.88%"
"Mar 30, 2020","232.45","227.05","234.70","225.09","167.23M","-0.57%"
"Mar 27, 2020","233.79","239.11","239.48","227.01","249.10M","1.94%"
"Mar 26, 2020","229.34","231.91","236.61","229.22","290.84M","-1.52%"
"Mar 25, 2020","232.89","228.37","233.42","224.74","306.11M","5.70%"
"Mar 24, 2020","220.34","207.65","220.34","205.41","225.73M","9.15%"
"Mar 23, 2020","201.87","200.80","206.66","198.67","210.30M","-5.52%"
"Mar 20, 2020","213.67","204.84","214.08","200.54","269.35M","7.22%"
"Mar 19, 2020","199.28","220.72","220.85","196.27","303.56M","-7.67%"
"Mar 18, 2020","215.83","228.63","230.04","215.81","208.04M","-4.87%"
"Mar 17, 2020","226.89","222.94","234.56","222.46","216.73M","-2.61%"
"Mar 16, 2020","232.97","245.21","245.21","232.76","175.05M","-3.19%"
"Mar 13, 2020","240.65","231.71","246.19","227.36","298.90M","-2.81%"
"Mar 12, 2020","247.62","253.93","255.49","243.76","242.47M","-3.65%"
"Mar 11, 2020","257.01","264.63","265.04","255.69","194.21M","-2.89%"
"Mar 10, 2020","264.67","261.94","265.57","260.75","173.09M","0.59%"
"Mar 09, 2020","263.11","266.39","267.75","261.76","182.67M","-4.36%"
"Mar 06, 2020","275.10","276.74","278.31","274.00","140.90M","-2.23%"
"Mar 05, 2020","281.38","280.66","282.05","277.91","147.44M","1.17%"
"Mar 04, 2020","278.13","270.13","278.90","270.13","208.46M","2.42%"
"Mar 03, 2020","271.56","277.44","277.54","270.79","146.72M","0.44%"
"Mar 02, 2020","270.37","269.59","272.60","265.70","163.72M","0.88%"
"Feb 28, 2020","268.02","272.33","273.98","267.23","202.61M","-3.27%"
"Feb 27, 2020","277.09","279.46","281.09","276.07","110.50M","-1.02%"
"Feb 26, 2020","279.94","278.45","281.98","277.68","119.55M","-1.51%"
"Feb 25, 2020","284.24","280.48","284.63","279.77","117.03M","1.15%"
"Feb 24, 2020","281.02","285.51","286.62","281.02","132.82M","-3.90%"
"Feb 21, 2020","292.42","292.16","295.24","291.96","100.71M","-1.43%"
"Feb 20, 2020","296.65","300.34","301.35","295.01","90.01M","-0.56%"
"Feb 19, 2020","298.33","299.68","300.38","295.53","84.26M","0.20%"
"Feb 18, 2020","297.74","300.26","301.29","297.20","84.75M","-1.66%"
"Feb 17, 2020","302.76","302.84","304.05","300.99","84.28M","-0.08%"
"Feb 14, 2020","303.01","300.95","304.20","299.18","80.53M","0.69%"
"Feb 13, 2020","300.93","302.79","304.43","300.48","115.07M","-0.20%"
"Feb 12, 2020","301.54","299.83","302.20","298.09","110.63M","0.76%"
"Feb 11, 2020","299.28","297.91","301.10","297.48","78.35M","1.03%"
"Feb 10, 2020","296.24","294.07","296.73","293.33","72.22M","-0.66%"
"Feb 07, 2020","298.21","299.59","300.05","296.01","108.11M","-0.81%"
"Feb 06, 2020","300.65","294.74","300.98","294.32","110.22M","2.96%"
"Feb 05, 2020","292.02","293.57","294.26","290.30","102.64M","0.46%"
"Feb 04, 2020","290.68","285.19","291.38","285.11","105.45M","1.98%"
"Feb 03, 2020","285.05","280.17","286.24","279.78","111.06M","0.18%"
"Jan 31, 2020","284.53","290.24","291.47","284.53","101.46M","-1.33%"
"Jan 30, 2020","288.37","293.27","294.11","287.09","101.54M","-1.91%"
"Jan 29, 2020","293.98","294.38","295.67","292.45","85.73M","0.41%"
"Jan 28, 2020","292.77","294.98","296.30","291.30","130.17M","-3.16%"
"Jan 23, 2020","302.33","303.77","304.72","301.71","86.91M","-1.23%"
"Jan 22, 2020","306.08","301.79","306.52","301.16","79.33M","1.31%"
"Jan 21, 2020","302.11","304.94","306.09","301.85","67.63M","-1.14%"
"Jan 20, 2020","305.58","304.99","307.54","304.77","78.04M","0.75%"
"Jan 17, 2020","303.30","305.07","306.05","302.51","81.54M","0.17%"
"Jan 16, 2020","302.78","299.93","302.91","298.95","85.71M","1.01%"
"Jan 15, 2020","299.74","299.91","301.13","298.82","71.77M","-0.59%"
"Jan 14, 2020","301.53","302.20","303.61","300.69","92.12M","0.47%"
"Jan 13, 2020","300.13","296.62","300.31","296.53","81.68M","1.03%"
"Jan 10, 2020","297.06","294.80","297.17","294.17","94.16M","0.90%"
"Jan 09, 2020","294.41","293.83","294.41","292.10","111.79M","1.72%"
"Jan 08, 2020","289.42","288.94","291.01","287.30","124.53M","-0.62%"
"Jan 07, 2020","291.23","290.01","292.26","289.64","65.35M","0.97%"
"Jan 06, 2020","288.43","287.73","289.41","287.49","69.96M","-0.79%"
"Jan 03, 2020","290.74","293.10","294.88","289.04","79.77M","0.13%"
"Jan 02, 2020","290.35","294.19","294.57","289.96","66.16M","-1.16%"
"Dec 30, 2019","293.77","294.60","295.49","293.40","54.97M","-0.48%"
"Dec 27, 2019","295.20","292.37","296.95","291.28","77.51M","0.39%"
"Dec 26, 2019","294.06","293.12","294.07","291.79","68.48M","0.40%"
"Dec 24, 2019","292.90","295.18","295.25","292.47","60.61M","-0.67%"
"Dec 23, 2019","294.87","295.84","296.12","293.81","62.09M","-0.15%"
"Dec 20, 2019","295.31","295.58","295.86","293.95","75.97M","0.34%"
"Dec 19, 2019","294.31","295.06","295.84","292.82","70.19M","0.03%"
"Dec 18, 2019","294.22","294.31","295.85","293.05","76.91M","-0.06%"
"Dec 17, 2019","294.40","291.76","294.50","290.52","94.37M","1.60%"
"Dec 16, 2019","289.76","289.54","290.80","289.36","73.74M","-0.12%"
"Dec 13, 2019","290.11","289.34","290.11","288.32","99.62M","1.75%"
"Dec 12, 2019","285.11","282.62","285.43","282.62","133.65M","1.72%"
"Dec 11, 2019","280.28","279.19","281.03","278.45","66.85M","0.35%"
"Dec 10, 2019","279.31","276.80","279.75","276.62","56.67M","0.46%"
"Dec 09, 2019","278.03","278.31","278.75","277.02","70.52M","0.53%"
"Dec 06, 2019","276.56","275.19","277.00","274.75","70.11M","1.19%"
"Dec 05, 2019","273.30","275.65","276.63","272.53","66.51M","-0.31%"
"Dec 04, 2019","274.15","274.36","274.68","272.53","81.92M","-0.74%"
"Dec 03, 2019","276.19","274.93","276.63","273.88","67.28M","-0.45%"
"Dec 02, 2019","277.44","278.27","279.44","276.97","66.61M","0.24%"
"Nov 29, 2019","276.78","282.08","282.10","276.34","74.60M","-1.58%"
"Nov 28, 2019","281.23","281.23","282.80","281.05","61.62M","-0.57%"
"Nov 27, 2019","282.85","283.56","284.02","281.27","60.90M","0.36%"
"Nov 26, 2019","281.83","283.09","284.87","281.77","119.52M","-0.13%"
"Nov 25, 2019","282.19","281.77","283.53","281.48","64.51M","0.99%"
"Nov 22, 2019","279.43","278.57","279.89","278.14","74.35M","0.41%"
"Nov 21, 2019","278.28","281.89","282.33","276.98","81.75M","-1.39%"
"Nov 20, 2019","282.21","284.27","285.29","282.00","73.55M","-1.40%"
"Nov 19, 2019","286.23","285.74","286.34","283.73","68.17M","-0.33%"
"Nov 18, 2019","287.18","287.10","287.78","285.94","56.11M","-0.04%"
"Nov 15, 2019","287.29","283.85","287.72","283.30","71.65M","1.18%"
"Nov 14, 2019","283.93","281.90","283.93","281.10","79.76M","0.94%"
"Nov 13, 2019","281.28","282.28","282.49","280.62","60.13M","-0.84%"
"Nov 12, 2019","283.65","281.90","283.65","280.79","65.57M","1.00%"
"Nov 11, 2019","280.85","283.30","283.30","280.40","61.56M","-0.81%"
"Nov 08, 2019","283.13","285.81","286.12","282.57","73.68M","-0.44%"
"Nov 07, 2019","284.37","284.04","284.82","283.05","70.72M","-0.05%"
"Nov 06, 2019","284.52","284.31","286.43","283.70","77.95M","0.05%"
"Nov 05, 2019","284.38","282.99","284.46","282.27","76.36M","0.65%"
"Nov 04, 2019","282.54","279.90","282.77","279.90","77.00M","1.48%"
"Nov 01, 2019","278.43","276.17","278.55","275.59","58.54M","0.95%"
"Oct 31, 2019","275.82","276.84","279.04","275.82","78.34M","0.11%"
"Oct 30, 2019","275.51","277.49","277.49","274.95","72.53M","-0.73%"
"Oct 29, 2019","277.55","279.25","279.49","276.81","57.15M","-0.08%"
"Oct 28, 2019","277.78","278.16","279.42","277.29","59.07M","0.26%"
"Oct 25, 2019","277.07","277.60","277.67","275.70","58.28M","0.13%"
"Oct 24, 2019","276.70","277.70","277.84","274.31","73.68M","0.17%"
"Oct 23, 2019","276.23","276.83","277.29","275.34","65.29M","-0.43%"
"Oct 22, 2019","277.41","275.40","278.19","274.93","63.88M","1.32%"
"Oct 21, 2019","273.79","273.87","274.10","272.67","45.39M","0.36%"
"Oct 18, 2019","272.81","275.99","277.06","272.28","71.47M","-1.00%"
"Oct 17, 2019","275.57","275.92","276.68","274.62","53.87M","-0.27%"
"Oct 16, 2019","276.32","276.26","277.59","275.24","65.38M","0.72%"
"Oct 15, 2019","274.34","273.85","275.09","273.83","53.05M","0.04%"
"Oct 14, 2019","274.23","274.71","275.75","273.97","71.05M","1.08%"
"Oct 11, 2019","271.30","271.68","272.68","270.58","59.64M","0.93%"
"Oct 10, 2019","268.80","268.79","270.78","266.23","98.18M","-0.94%"
"Oct 08, 2019","271.36","268.90","271.51","267.97","75.08M","1.38%"
"Oct 07, 2019","267.67","269.12","269.75","266.83","53.57M","0.10%"
"Oct 04, 2019","267.39","268.14","270.16","267.39","62.88M","-0.43%"
"Oct 02, 2019","268.55","272.39","272.42","268.55","66.21M","-2.14%"
"Oct 01, 2019","274.42","273.43","275.38","272.81","52.63M","0.32%"
"Sep 30, 2019","273.55","270.61","273.85","270.06","54.69M","0.82%"
"Sep 27, 2019","271.33","273.32","273.40","270.52","57.74M","-1.30%"
